ID,CreationDate,TransactionDate,EmployeeID
152,18/02/2020,18/02/2020,8
153,19/09/2020,18/09/2020,6
154,22/01/2020,21/01/2020,7
155,16/01/2020,15/01/2020,9
156,24/04/2020,23/04/2020,6
157,20/09/2020,19/09/2020,8
158,20/08/2020,18/08/2020,10
159,23/02/2020,21/02/2020,4
160,08/09/2020,06/09/2020,9
161,26/08/2020,24/08/2020,3
162,23/07/2020,22/07/2020,1
163,17/08/2020,17/08/2020,8
164,20/06/2020,19/06/2020,9
165,20/03/2020,20/03/2020,6
166,30/04/2020,29/04/2020,7
167,14/02/2020,13/02/2020,8
168,21/03/2020,20/03/2020,10
169,09/03/2020,09/03/2020,1
170,01/09/2020,31/08/2020,6
171,15/09/2020,14/09/2020,6
172,11/05/2020,09/05/2020,9
173,03/01/2020,01/01/2020,4
174,17/03/2020,16/03/2020,4
175,20/06/2020,18/06/2020,9
176,02/07/2020,30/06/2020,5
177,11/08/2020,10/08/2020,10
178,10/08/2020,09/08/2020,10
179,14/07/2020,12/07/2020,7
180,25/03/2020,24/03/2020,1
181,24/06/2020,23/06/2020,1
182,03/02/2020,02/02/2020,6
183,21/05/2020,19/05/2020,8
184,08/05/2020,07/05/2020,10
185,03/02/2020,03/02/2020,7
186,17/02/2020,16/02/2020,9
187,25/07/2020,24/07/2020,1
188,30/04/2020,29/04/2020,8
189,27/08/2020,25/08/2020,4
190,08/01/2020,06/01/2020,5
191,02/08/2020,01/08/2020,5
192,09/07/2020,09/07/2020,8
193,24/07/2020,22/07/2020,3
194,27/06/2020,26/06/2020,7
195,11/08/2020,09/08/2020,1
196,31/01/2020,29/01/2020,7
197,03/06/2020,01/06/2020,8
198,19/08/2020,19/08/2020,10
199,06/01/2020,05/01/2020,9
200,24/08/2020,24/08/2020,7
201,22/02/2020,21/02/2020,10
202,04/06/2020,04/06/2020,6
203,15/09/2020,15/09/2020,8
204,23/05/2020,21/05/2020,2
205,19/03/2020,17/03/2020,1
206,23/06/2020,21/06/2020,2
207,05/03/2020,03/03/2020,2
208,07/01/2020,05/01/2020,6
209,18/09/2020,16/09/2020,4
210,27/04/2020,27/04/2020,9
211,24/01/2020,22/01/2020,9
212,10/09/2020,08/09/2020,5
213,22/03/2020,20/03/2020,5
214,01/07/2020,30/06/2020,6
215,04/07/2020,02/07/2020,2
216,18/02/2020,18/02/2020,4
217,17/03/2020,17/03/2020,10
218,21/08/2020,21/08/2020,4
219,17/05/2020,15/05/2020,10
220,03/07/2020,02/07/2020,7
221,29/04/2020,29/04/2020,2
222,22/09/2020,21/09/2020,1
223,10/01/2020,10/01/2020,8
224,17/06/2020,16/06/2020,1
225,24/06/2020,24/06/2020,2
226,31/07/2020,29/07/2020,6
227,13/04/2020,13/04/2020,8
228,07/08/2020,06/08/2020,6
229,21/04/2020,19/04/2020,8
230,31/03/2020,30/03/2020,8
231,13/02/2020,11/02/2020,3
232,19/06/2020,19/06/2020,8
233,21/07/2020,21/07/2020,3
234,20/01/2020,19/01/2020,7
235,14/01/2020,13/01/2020,2
236,02/09/2020,01/09/2020,9
237,06/07/2020,05/07/2020,5
238,22/07/2020,22/07/2020,3
239,23/04/2020,23/04/2020,7
240,27/02/2020,26/02/2020,4
241,12/01/2020,10/01/2020,5
242,30/04/2020,28/04/2020,1
243,12/09/2020,11/09/2020,3
244,02/02/2020,02/02/2020,2
245,25/03/2020,23/03/2020,5
246,29/08/2020,29/08/2020,9
247,17/08/2020,16/08/2020,1
248,22/01/2020,20/01/2020,1
249,22/04/2020,22/04/2020,6
250,22/04/2020,21/04/2020,7
251,30/06/2020,29/06/2020,1
252,18/06/2020,17/06/2020,5
253,04/07/2020,02/07/2020,7
254,15/07/2020,13/07/2020,9
255,19/02/2020,18/02/2020,3
256,01/06/2020,31/05/2020,5
257,20/02/2020,18/02/2020,6
258,31/05/2020,30/05/2020,10
259,05/05/2020,04/05/2020,8
260,08/03/2020,06/03/2020,10
261,23/01/2020,21/01/2020,10
262,17/02/2020,15/02/2020,2
263,13/08/2020,11/08/2020,10
264,08/07/2020,08/07/2020,6
265,22/04/2020,21/04/2020,4
266,22/02/2020,20/02/2020,9
267,02/05/2020,01/05/2020,2
268,23/09/2020,22/09/2020,1
269,16/09/2020,15/09/2020,9
270,23/04/2020,21/04/2020,3
271,26/07/2020,25/07/2020,5
272,29/08/2020,28/08/2020,8
273,15/06/2020,13/06/2020,4
274,12/05/2020,10/05/2020,9
275,23/07/2020,21/07/2020,1
276,21/09/2020,20/09/2020,6
277,27/08/2020,26/08/2020,6
278,14/03/2020,13/03/2020,1
279,23/07/2020,21/07/2020,4
280,08/05/2020,07/05/2020,9
281,31/07/2020,29/07/2020,3
282,04/08/2020,04/08/2020,4
283,16/09/2020,14/09/2020,4
284,06/06/2020,04/06/2020,5
285,24/03/2020,23/03/2020,9
286,12/03/2020,12/03/2020,2
287,05/07/2020,05/07/2020,8
288,09/05/2020,08/05/2020,1
289,24/06/2020,23/06/2020,9
290,06/08/2020,06/08/2020,3
291,16/05/2020,14/05/2020,8
292,09/06/2020,08/06/2020,10
293,17/08/2020,16/08/2020,8
294,01/06/2020,01/06/2020,2
295,06/09/2020,05/09/2020,4
296,04/03/2020,02/03/2020,5
297,27/03/2020,26/03/2020,10
298,05/09/2020,03/09/2020,10
299,22/05/2020,20/05/2020,9
300,07/03/2020,07/03/2020,7
301,13/09/2020,12/09/2020,7
302,13/04/2020,13/04/2020,6
303,08/08/2020,07/08/2020,1
304,28/06/2020,26/06/2020,2
305,09/05/2020,07/05/2020,6
306,01/05/2020,29/04/2020,5
307,17/09/2020,15/09/2020,10
308,27/04/2020,27/04/2020,2
309,17/09/2020,16/09/2020,4
310,26/01/2020,26/01/2020,10
311,01/02/2020,30/01/2020,3
312,08/09/2020,08/09/2020,2
313,01/06/2020,30/05/2020,7
314,23/07/2020,21/07/2020,7
315,19/01/2020,18/01/2020,4
316,31/07/2020,31/07/2020,1
317,26/09/2020,24/09/2020,3
318,22/04/2020,22/04/2020,1
319,10/08/2020,09/08/2020,10
320,15/06/2020,14/06/2020,1
321,16/01/2020,15/01/2020,8
322,12/08/2020,12/08/2020,2
323,18/08/2020,17/08/2020,6
324,29/09/2020,27/09/2020,8
325,08/03/2020,06/03/2020,6
326,11/01/2020,11/01/2020,5
327,13/05/2020,13/05/2020,9
328,20/09/2020,20/09/2020,4
329,10/07/2020,08/07/2020,1
330,16/06/2020,15/06/2020,3
331,21/06/2020,21/06/2020,10
332,21/09/2020,20/09/2020,10
333,19/02/2020,17/02/2020,8
334,27/09/2020,26/09/2020,9
335,04/09/2020,04/09/2020,8
336,01/05/2020,30/04/2020,5
337,28/02/2020,27/02/2020,5
338,23/01/2020,23/01/2020,3
339,23/01/2020,21/01/2020,4
340,06/02/2020,06/02/2020,9
341,02/08/2020,31/07/2020,9
342,25/06/2020,23/06/2020,10
343,03/06/2020,01/06/2020,2
344,12/09/2020,12/09/2020,10
345,25/02/2020,23/02/2020,4
346,29/05/2020,29/05/2020,10
347,04/03/2020,02/03/2020,9
348,25/06/2020,25/06/2020,3
349,14/04/2020,13/04/2020,8
350,16/06/2020,15/06/2020,8
351,12/04/2020,11/04/2020,1
352,13/01/2020,13/01/2020,8
353,09/03/2020,08/03/2020,8
354,13/03/2020,13/03/2020,8
355,03/08/2020,01/08/2020,7
356,03/02/2020,02/02/2020,4
357,04/06/2020,03/06/2020,5
358,06/02/2020,04/02/2020,7
359,12/05/2020,12/05/2020,5
360,27/06/2020,25/06/2020,2
361,16/02/2020,16/02/2020,3
362,22/02/2020,22/02/2020,4
363,08/06/2020,08/06/2020,10
364,14/06/2020,12/06/2020,1
365,19/03/2020,18/03/2020,4
366,19/02/2020,19/02/2020,5
367,21/01/2020,19/01/2020,3
368,28/04/2020,28/04/2020,8
369,20/07/2020,20/07/2020,2
370,04/09/2020,03/09/2020,6
371,13/02/2020,11/02/2020,8
372,16/09/2020,15/09/2020,9
373,18/06/2020,17/06/2020,7
374,29/08/2020,28/08/2020,1
375,07/05/2020,06/05/2020,8
376,18/02/2020,17/02/2020,6
377,21/01/2020,20/01/2020,8
378,06/06/2020,04/06/2020,1
379,12/03/2020,12/03/2020,5
380,31/01/2020,29/01/2020,8
381,14/08/2020,14/08/2020,2
382,03/05/2020,03/05/2020,3
383,05/07/2020,04/07/2020,8
384,02/03/2020,29/02/2020,5
385,07/02/2020,05/02/2020,9
386,05/05/2020,05/05/2020,10
387,12/02/2020,12/02/2020,10
388,16/08/2020,15/08/2020,9
389,11/02/2020,09/02/2020,2
390,28/09/2020,28/09/2020,2
391,02/07/2020,02/07/2020,3
392,28/02/2020,26/02/2020,5
393,14/07/2020,12/07/2020,3
394,16/06/2020,14/06/2020,3
395,10/01/2020,09/01/2020,8
396,24/03/2020,22/03/2020,5
397,22/05/2020,20/05/2020,5
398,27/05/2020,25/05/2020,7
399,30/04/2020,28/04/2020,1
400,12/04/2020,10/04/2020,10
401,20/08/2020,19/08/2020,3
402,11/09/2020,10/09/2020,5
403,09/04/2020,09/04/2020,2
404,01/05/2020,29/04/2020,6
405,28/07/2020,26/07/2020,2
406,11/01/2020,10/01/2020,6
407,21/01/2020,19/01/2020,8
408,04/01/2020,03/01/2020,2
409,27/05/2020,27/05/2020,10
410,29/04/2020,28/04/2020,7
411,30/05/2020,30/05/2020,10
412,02/07/2020,02/07/2020,2
413,03/03/2020,03/03/2020,10
414,06/05/2020,04/05/2020,1
415,24/05/2020,23/05/2020,5
416,31/03/2020,30/03/2020,5
417,27/04/2020,26/04/2020,4
418,04/03/2020,03/03/2020,9
419,09/02/2020,09/02/2020,8
420,19/02/2020,17/02/2020,8
421,17/03/2020,17/03/2020,9
422,13/06/2020,12/06/2020,9
423,05/03/2020,05/03/2020,1
424,11/07/2020,09/07/2020,9
425,25/08/2020,25/08/2020,2
426,06/02/2020,04/02/2020,4
427,10/05/2020,09/05/2020,1
428,21/03/2020,20/03/2020,4
429,19/02/2020,17/02/2020,1
430,24/07/2020,22/07/2020,3
431,20/02/2020,19/02/2020,2
432,19/08/2020,18/08/2020,10
433,19/02/2020,19/02/2020,1
434,24/09/2020,24/09/2020,6
435,08/03/2020,06/03/2020,5
436,24/06/2020,24/06/2020,2
437,09/06/2020,08/06/2020,9
438,14/06/2020,14/06/2020,6
439,15/05/2020,15/05/2020,2
440,18/01/2020,16/01/2020,5
441,28/08/2020,27/08/2020,1
442,26/08/2020,24/08/2020,6
443,21/03/2020,19/03/2020,9
444,19/08/2020,19/08/2020,4
445,19/04/2020,19/04/2020,6
446,03/01/2020,01/01/2020,8
447,03/05/2020,03/05/2020,2
448,29/02/2020,27/02/2020,5
449,26/03/2020,26/03/2020,10
450,05/07/2020,04/07/2020,2
451,31/01/2020,30/01/2020,6
452,20/03/2020,19/03/2020,4
453,08/01/2020,08/01/2020,9
454,19/05/2020,19/05/2020,7
455,14/06/2020,13/06/2020,6
456,29/05/2020,27/05/2020,2
457,09/08/2020,07/08/2020,8
458,16/09/2020,16/09/2020,4
459,05/04/2020,03/04/2020,4
460,07/01/2020,06/01/2020,2
461,05/05/2020,04/05/2020,7
462,14/07/2020,13/07/2020,6
463,03/08/2020,03/08/2020,5
464,07/02/2020,05/02/2020,10
465,27/09/2020,26/09/2020,8
466,25/03/2020,23/03/2020,8
467,24/01/2020,22/01/2020,9
468,29/07/2020,27/07/2020,4
469,06/03/2020,05/03/2020,1
470,22/02/2020,21/02/2020,1
471,10/04/2020,08/04/2020,3
472,12/02/2020,11/02/2020,7
473,23/08/2020,23/08/2020,7
474,28/04/2020,28/04/2020,3
475,03/02/2020,01/02/2020,8
476,26/03/2020,24/03/2020,1
477,05/07/2020,03/07/2020,7
478,07/06/2020,05/06/2020,7
479,01/08/2020,01/08/2020,8
480,06/05/2020,05/05/2020,9
481,13/06/2020,13/06/2020,10
482,31/07/2020,29/07/2020,3
483,25/06/2020,23/06/2020,2
484,30/06/2020,30/06/2020,9
485,15/07/2020,15/07/2020,1
486,25/09/2020,24/09/2020,6
487,01/03/2020,29/02/2020,5
488,03/05/2020,02/05/2020,3
489,21/05/2020,20/05/2020,9
490,26/06/2020,26/06/2020,8
491,15/07/2020,14/07/2020,7
492,20/02/2020,18/02/2020,7
493,12/09/2020,12/09/2020,6
494,16/09/2020,15/09/2020,1
495,07/05/2020,06/05/2020,7
496,28/02/2020,26/02/2020,7
497,10/09/2020,10/09/2020,7
498,25/01/2020,23/01/2020,6
499,19/05/2020,19/05/2020,10
500,26/06/2020,24/06/2020,4
501,03/08/2020,01/08/2020,6
502,11/07/2020,09/07/2020,7
503,04/09/2020,02/09/2020,9
504,29/01/2020,29/01/2020,2
505,22/01/2020,22/01/2020,7
506,25/09/2020,24/09/2020,6
507,21/02/2020,20/02/2020,2
508,24/03/2020,23/03/2020,2
509,01/02/2020,31/01/2020,8
510,29/01/2020,28/01/2020,9
511,03/02/2020,02/02/2020,3
512,05/02/2020,05/02/2020,6
513,26/06/2020,26/06/2020,3
514,16/09/2020,16/09/2020,7
515,12/09/2020,11/09/2020,1
516,14/05/2020,12/05/2020,8
517,09/07/2020,07/07/2020,5
518,18/08/2020,16/08/2020,4
519,14/05/2020,14/05/2020,9
520,12/06/2020,10/06/2020,2
521,20/08/2020,20/08/2020,10
522,15/06/2020,14/06/2020,10
523,25/09/2020,24/09/2020,2
524,04/02/2020,02/02/2020,9
525,21/02/2020,20/02/2020,9
526,25/02/2020,24/02/2020,1
527,19/02/2020,19/02/2020,7
528,20/02/2020,18/02/2020,1
529,30/07/2020,29/07/2020,5
530,19/02/2020,19/02/2020,7
531,14/04/2020,14/04/2020,8
532,14/07/2020,14/07/2020,5
533,23/03/2020,21/03/2020,7
534,08/02/2020,07/02/2020,8
535,02/04/2020,31/03/2020,2
536,29/06/2020,29/06/2020,3
537,07/07/2020,05/07/2020,3
538,01/06/2020,01/06/2020,9
539,24/02/2020,23/02/2020,7
540,07/09/2020,06/09/2020,6
541,26/09/2020,24/09/2020,9
542,01/09/2020,31/08/2020,4
543,28/05/2020,28/05/2020,7
544,30/06/2020,28/06/2020,4
545,06/05/2020,06/05/2020,3
546,27/03/2020,27/03/2020,10
547,17/02/2020,16/02/2020,3
548,12/05/2020,11/05/2020,7
549,19/01/2020,17/01/2020,10
550,09/07/2020,09/07/2020,2
551,02/09/2020,01/09/2020,10
552,15/06/2020,13/06/2020,1
553,19/02/2020,17/02/2020,6
554,05/08/2020,05/08/2020,10
555,20/07/2020,18/07/2020,7
556,29/02/2020,28/02/2020,10
557,31/05/2020,31/05/2020,9
558,07/07/2020,06/07/2020,4
559,09/09/2020,07/09/2020,4
560,02/07/2020,01/07/2020,3
561,17/01/2020,16/01/2020,4
562,11/05/2020,11/05/2020,9
563,16/07/2020,16/07/2020,7
564,20/06/2020,20/06/2020,5
565,18/02/2020,18/02/2020,3
566,14/09/2020,14/09/2020,4
567,28/04/2020,26/04/2020,3
568,06/03/2020,06/03/2020,8
569,28/06/2020,26/06/2020,9
570,02/04/2020,02/04/2020,5
571,01/09/2020,31/08/2020,4
572,22/06/2020,20/06/2020,7
573,20/04/2020,18/04/2020,10
574,07/08/2020,07/08/2020,1
575,29/02/2020,29/02/2020,10
576,07/05/2020,05/05/2020,8
577,03/03/2020,02/03/2020,2
578,29/07/2020,27/07/2020,1
579,04/01/2020,02/01/2020,8
580,30/06/2020,29/06/2020,10
581,23/06/2020,21/06/2020,10
582,27/02/2020,27/02/2020,4
583,30/01/2020,28/01/2020,5
584,26/08/2020,24/08/2020,1
585,04/09/2020,03/09/2020,4
586,02/03/2020,29/02/2020,4
587,19/03/2020,19/03/2020,7
588,18/04/2020,17/04/2020,10
589,26/03/2020,24/03/2020,4
590,03/06/2020,02/06/2020,4
591,25/02/2020,24/02/2020,4
592,13/02/2020,13/02/2020,2
593,21/09/2020,19/09/2020,9
594,20/08/2020,18/08/2020,5
595,20/02/2020,20/02/2020,6
596,15/07/2020,15/07/2020,2
597,09/04/2020,07/04/2020,1
598,14/05/2020,12/05/2020,5
599,27/06/2020,26/06/2020,4
600,03/08/2020,01/08/2020,7
601,08/01/2020,06/01/2020,2
602,21/04/2020,20/04/2020,7
603,09/03/2020,07/03/2020,7
604,11/07/2020,09/07/2020,2
605,19/02/2020,19/02/2020,1
606,16/05/2020,15/05/2020,1
607,02/04/2020,01/04/2020,10
608,23/09/2020,22/09/2020,2
609,09/01/2020,07/01/2020,3
610,22/02/2020,21/02/2020,2
611,09/07/2020,08/07/2020,6
612,05/01/2020,03/01/2020,2
613,26/06/2020,26/06/2020,1
614,07/03/2020,06/03/2020,3
615,13/08/2020,13/08/2020,4
616,01/08/2020,30/07/2020,4
617,06/07/2020,06/07/2020,8
618,19/08/2020,17/08/2020,5
619,18/05/2020,18/05/2020,9
620,31/07/2020,29/07/2020,9
621,18/01/2020,17/01/2020,8
622,13/06/2020,11/06/2020,3
623,01/03/2020,29/02/2020,1
624,29/05/2020,29/05/2020,4
625,28/03/2020,27/03/2020,8
626,14/06/2020,14/06/2020,3
627,24/05/2020,23/05/2020,6
628,13/09/2020,11/09/2020,5
629,06/08/2020,06/08/2020,3
630,12/02/2020,11/02/2020,5
631,01/08/2020,30/07/2020,8
632,08/07/2020,08/07/2020,10
633,01/10/2020,29/09/2020,1
634,13/04/2020,11/04/2020,1
635,11/09/2020,11/09/2020,4
636,19/07/2020,19/07/2020,8
637,09/05/2020,07/05/2020,6
638,26/05/2020,26/05/2020,8
639,30/05/2020,28/05/2020,2
640,23/02/2020,23/02/2020,5
641,06/08/2020,04/08/2020,3
642,24/05/2020,24/05/2020,1
643,04/09/2020,04/09/2020,3
644,29/09/2020,28/09/2020,9
645,18/05/2020,16/05/2020,3
646,21/03/2020,20/03/2020,5
647,03/04/2020,02/04/2020,5
648,06/06/2020,06/06/2020,6
649,06/05/2020,06/05/2020,8
650,01/06/2020,01/06/2020,9
651,13/06/2020,13/06/2020,1
652,09/04/2020,08/04/2020,4
653,15/01/2020,14/01/2020,3
654,14/09/2020,14/09/2020,8
655,23/03/2020,22/03/2020,4
656,29/06/2020,28/06/2020,9
657,05/04/2020,04/04/2020,6
658,02/04/2020,01/04/2020,8
659,05/08/2020,05/08/2020,9
660,07/08/2020,07/08/2020,8
661,04/02/2020,02/02/2020,10
662,01/07/2020,01/07/2020,6
663,01/05/2020,30/04/2020,9
664,16/03/2020,16/03/2020,9
665,27/04/2020,25/04/2020,1
666,11/09/2020,11/09/2020,6
667,07/08/2020,05/08/2020,5
668,30/09/2020,28/09/2020,4
669,29/06/2020,29/06/2020,7
670,20/07/2020,20/07/2020,6
671,31/08/2020,29/08/2020,9
672,30/08/2020,30/08/2020,4
673,12/01/2020,12/01/2020,6
674,17/09/2020,15/09/2020,2
675,11/02/2020,09/02/2020,2
676,26/06/2020,26/06/2020,6
677,14/05/2020,13/05/2020,7
678,23/08/2020,22/08/2020,7
679,27/06/2020,27/06/2020,7
680,06/09/2020,06/09/2020,8
681,28/09/2020,26/09/2020,9
682,12/01/2020,10/01/2020,10
683,08/03/2020,08/03/2020,7
684,22/02/2020,20/02/2020,9
685,15/01/2020,14/01/2020,2
686,06/09/2020,05/09/2020,1
687,16/02/2020,15/02/2020,9
688,04/03/2020,02/03/2020,3
689,04/06/2020,02/06/2020,7
690,07/01/2020,06/01/2020,4
691,21/01/2020,19/01/2020,6
692,22/07/2020,22/07/2020,2
693,12/02/2020,10/02/2020,1
694,27/01/2020,26/01/2020,1
695,24/01/2020,23/01/2020,8
696,20/02/2020,20/02/2020,10
697,11/08/2020,11/08/2020,4
698,28/08/2020,27/08/2020,10
699,08/03/2020,08/03/2020,4
700,03/02/2020,01/02/2020,7
701,28/09/2020,28/09/2020,9
702,10/03/2020,10/03/2020,6
703,19/08/2020,18/08/2020,3
704,12/04/2020,11/04/2020,7
705,06/08/2020,04/08/2020,2
706,21/08/2020,19/08/2020,7
707,17/07/2020,15/07/2020,1
708,20/03/2020,20/03/2020,3
709,22/09/2020,21/09/2020,5
710,02/06/2020,01/06/2020,9
711,08/08/2020,06/08/2020,8
712,13/06/2020,12/06/2020,5
713,12/01/2020,11/01/2020,4
714,04/08/2020,03/08/2020,9
715,06/05/2020,06/05/2020,3
716,01/07/2020,30/06/2020,5
717,15/08/2020,15/08/2020,5
718,23/02/2020,23/02/2020,8
719,03/01/2020,01/01/2020,7
720,18/04/2020,18/04/2020,3
721,16/03/2020,16/03/2020,6
722,21/01/2020,19/01/2020,1
723,07/03/2020,07/03/2020,2
724,27/07/2020,27/07/2020,5
725,18/03/2020,17/03/2020,4
726,01/09/2020,31/08/2020,10
727,15/08/2020,15/08/2020,2
728,22/01/2020,20/01/2020,2
729,11/02/2020,10/02/2020,9
730,19/01/2020,19/01/2020,5
731,26/02/2020,24/02/2020,1
732,18/04/2020,17/04/2020,7
733,01/10/2020,29/09/2020,9
734,29/07/2020,29/07/2020,10
735,03/07/2020,03/07/2020,9
736,15/04/2020,13/04/2020,2
737,07/06/2020,05/06/2020,1
738,06/07/2020,04/07/2020,3
739,25/05/2020,25/05/2020,10
740,22/06/2020,22/06/2020,7
741,19/03/2020,19/03/2020,9
742,05/09/2020,03/09/2020,6
743,16/08/2020,16/08/2020,9
744,02/05/2020,30/04/2020,9
745,22/05/2020,20/05/2020,3
746,12/03/2020,12/03/2020,8
747,02/08/2020,31/07/2020,10
748,24/09/2020,23/09/2020,1
749,27/02/2020,25/02/2020,8
750,28/06/2020,27/06/2020,4
751,06/07/2020,05/07/2020,5
752,26/05/2020,25/05/2020,5
753,12/03/2020,11/03/2020,10
754,02/04/2020,02/04/2020,2
755,20/01/2020,18/01/2020,5
756,26/05/2020,25/05/2020,9
757,10/03/2020,09/03/2020,5
758,18/05/2020,17/05/2020,3
759,26/04/2020,26/04/2020,2
760,29/08/2020,27/08/2020,9
761,15/09/2020,15/09/2020,3
762,30/07/2020,29/07/2020,7
763,30/06/2020,30/06/2020,10
764,16/01/2020,16/01/2020,4
765,27/02/2020,26/02/2020,2
766,18/07/2020,17/07/2020,5
767,09/08/2020,07/08/2020,5
768,16/05/2020,16/05/2020,1
769,14/04/2020,12/04/2020,10
770,16/04/2020,14/04/2020,10
771,10/05/2020,10/05/2020,2
772,27/01/2020,27/01/2020,3
773,09/05/2020,09/05/2020,3
774,26/08/2020,25/08/2020,9
775,15/02/2020,14/02/2020,10
